"	id";number;question;Yes score;No score
;1;Does the product gather specialized categories of personal data, such as biometric or health-related information?;-1,05;0,00
;1,1;Are there security protocols in place for safeguarding specialized categories of personal data?;0,335;0,00
;1.1.2;Have you implemented measures to ensure only the essential sensitive personal data is collected?;0,00;-0,335
;1,2;Does the product collect information concerning criminal convictions or offenses?;0,00;0,335
;1.2.1;Is the collection of such criminal data authorized by European Union or Member State law?;0,165;0,00
;1.2.2;Is the registry of criminal convictions exclusively controlled by an official authority?;0,17;0,00
;1,3;Are the objectives for collecting personal data clearly defined, explicit, and legitimate?;0,335;0,00
;1.3.1;Is the acquired personal data strictly relevant and limited to what is essential for the intended purposes?;0,00;-0,17
;1.3.2;Is the personal data you gather accurate and regularly updated?;0,00;-0,085
;1.3.3;Is personal data stored in a way that allows for identification of subjects only for the duration needed for its intended use?;0,00;-0,08
;2;Do you employ a Data Protection Officer (DPO) in accordance with European Union or Member State legislation?;0,00;-0,75
;2,1;Is the DPO actively involved in all data protection matters?;0,00;-0,320
;2.1.1;Does the DPO have a direct reporting line to the highest level of management?;0,00;-0,05
;2,2;Is adequate resourcing provided for the DPO to execute their tasks?;0,00;-0,100
;2,3;Is the DPO free from instructions that could compromise the impartial exercise of their responsibilities?;0,00;-0,17
;2,4;Can data subjects directly communicate with the DPO regarding their personal data processing concerns?;0,00;-0,16
;3;Are there methods to authenticate the identity of a data subject requesting access?;0,00;-0,53
;3,1;Are the identity verification methods you employ both secure and reliable?;0,00;-0,28
;3.1.1;Do you employ pseudonymization techniques as part of the identity verification process?;0,00;-0,07
;3.1.2;Is personal data only retained for the purpose of responding to potential future requests?;-0,07;0,00
;4;"Does the product support the ""right to be forgotten,"" allowing for the erasure of personal data?";0,00;-0,75
;4,1;Can a data subject request erasure under some specified conditions?;0,00;-0,75
;4.1.1;Can erasure be requested for data that is no longer necessary?;0,00;-0,12
;4.1.2;Is erasure possible when the data subject withdraws consent and there’s no other legal ground for processing?;0,00;-0,12
;4.1.3;Can erasure be requested if the data subject contests the processing and no overriding legitimate reasons exist?;0,00;-0,12
;4.1.4;Can erasure be executed when the personal data has been unlawfully processed?;0,00;-0,12
;4.1.5;Is erasure possible to comply with legal obligations?;0,00;-0,12
;4.1.6;Can erasure be requested for data gathered when the subject was a minor?;0,00;-0,12
;5;Is all data processing information transparent and easily accessible to data subjects?;0,00;-0,35
;5,1;Is data processing information also available in electronic formats?;0,00;-0,21
;5.1.1;Is data processing information articulated in clear language that is easily understandable?;0,00;-0,07
;5.1.2;Is the consent mechanism presented separately from other terms or conditions?;0,00;-0,07
;5.1.3;Is it possible for data subjects to revoke their consent at any time?;0,00;-0,07
;6;Does the product consider a minor's consent (below the age of 13-16)?;0,00;-0,35
;6,1;Is the processing of data for subjects under 13-16 years of age based on parental consent?;0,00;-0,21
;6.1.1;Are reasonable technological methods employed to confirm that parental consent is genuine?;0,00;-0,07
;6.1.2;Does the product provide clear and age-appropriate information to subjects under 13-16 years about the data being collected?;0,00;-0,07
;6.1.3;Is an option available for any minor to remove personal data?;0,00;-0,07
;7;Does the product process personal data that is not needed for identification?;-0,22;0,00
;7,1;If the processing objectives do not require identification, do you refrain from collecting additional identifying data?;0,14;0,00
;7.1.1;Is the restriction of such non-identifiable data clearly marked within the product?;0,08;0,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
